DEFECT,HLTH,RAPE,POOR,SINGLE,NOMORE,AGE,SEX,RACE,DEGREE,REGION
NO,YES,NO,NO,NO,NO,33,FEMALE,WHITE,HIGH SCHOOL,MOUNTAIN
YES,YES,YES,YES,YES,YES,65,MALE,WHITE,GRADUATE,MOUNTAIN
YES,YES,YES,YES,YES,YES,65,MALE,WHITE,HIGH SCHOOL,MOUNTAIN
YES,YES,YES,YES,YES,YES,68,FEMALE,WHITE,COLLEGE,MOUNTAIN
YES,YES,YES,YES,YES,YES,20,FEMALE,WHITE,HIGH SCHOOL,MOUNTAIN
NO,NO,YES,NO,NO,NO,23,MALE,OTHER,HIGH SCHOOL,MOUNTAIN
YES,YES,NO,NO,NO,NO,29,MALE,WHITE,HIGH SCHOOL,MOUNTAIN
NA,YES,YES,NO,NO,NO,25,MALE,WHITE,COLLEGE,W. NOR. CENTRAL
NO,NO,NO,NO,NO,NO,35,MALE,WHITE,COLLEGE,W. NOR. CENTRAL
YES,YES,YES,YES,YES,YES,47,FEMALE,WHITE,HIGH SCHOOL,W. NOR. CENTRAL
NO,YES,NA,NO,NO,NO,69,FEMALE,WHITE,HIGH SCHOOL,W. NOR. CENTRAL
YES,YES,YES,YES,YES,YES,67,FEMALE,WHITE,HIGH SCHOOL,W. NOR. CENTRAL
YES,YES,YES,YES,YES,YES,57,MALE,WHITE,HIGH SCHOOL,W. NOR. CENTRAL
YES,YES,YES,YES,YES,YES,46,MALE,WHITE,GRADUATE,W. NOR. CENTRAL
NA,YES,YES,NA,NA,NA,52,MALE,WHITE,HIGH SCHOOL,SOUTH ATLANTIC
YES,NO,NO,NO,NO,NO,64,FEMALE,WHITE,HIGH SCHOOL,SOUTH ATLANTIC
NA,NA,NA,NO,NO,NO,56,MALE,WHITE,HIGH SCHOOL,SOUTH ATLANTIC
NA,YES,NA,NO,NA,NO,61,MALE,WHITE,GRADUATE,SOUTH ATLANTIC
NO,NO,NO,NO,NO,NO,56,FEMALE,WHITE,COLLEGE,SOUTH ATLANTIC
NA,NA,NO,NO,NO,NO,56,FEMALE,WHITE,HIGH SCHOOL,W. NOR. CENTRAL
YES,YES,YES,YES,YES,YES,41,FEMALE,WHITE,COLLEGE,W. NOR. CENTRAL
NO,NA,NA,NA,NO,NO,36,FEMALE,BLACK,COLLEGE,SOUTH ATLANTIC
YES,YES,YES,YES,YES,YES,25,FEMALE,WHITE,HIGH SCHOOL,SOUTH ATLANTIC
NA,YES,NA,NO,NO,NO,34,FEMALE,WHITE,HIGH SCHOOL,SOUTH ATLANTIC
YES,YES,YES,YES,YES,YES,28,FEMALE,OTHER,GRADUATE,SOUTH ATLANTIC
YES,YES,YES,YES,YES,YES,34,MALE,BLACK,GRADUATE,SOUTH ATLANTIC
YES,YES,YES,YES,YES,YES,48,MALE,WHITE,COLLEGE,PACIFIC
YES,YES,YES,NO,NO,NO,53,MALE,WHITE,HIGH SCHOOL,PACIFIC
YES,YES,YES,YES,YES,YES,81,MALE,WHITE,COLLEGE,PACIFIC
YES,YES,YES,YES,YES,YES,21,FEMALE,WHITE,COLLEGE,PACIFIC
YES,YES,YES,YES,YES,YES,38,MALE,WHITE,COLLEGE,PACIFIC
YES,YES,YES,YES,YES,YES,25,MALE,WHITE,COLLEGE,PACIFIC
YES,YES,YES,NO,YES,YES,50,MALE,WHITE,HIGH SCHOOL,PACIFIC
YES,YES,YES,YES,NO,YES,49,FEMALE,BLACK,HIGH SCHOOL,MOUNTAIN
YES,NA,NA,NO,NO,NO,34,FEMALE,WHITE,HIGH SCHOOL,MOUNTAIN
NO,YES,NO,NO,NO,NO,28,MALE,WHITE,COLLEGE,MOUNTAIN
YES,YES,YES,YES,YES,YES,26,FEMALE,BLACK,HIGH SCHOOL,E. NOR. CENTRAL
NO,YES,NO,NO,NO,NO,31,FEMALE,BLACK,HIGH SCHOOL,E. NOR. CENTRAL
NO,NO,YES,NO,NO,NO,27,MALE,WHITE,<= HS,E. NOR. CENTRAL
YES,YES,YES,YES,YES,YES,52,FEMALE,WHITE,GRADUATE,MIDDLE ATLANTIC
YES,YES,YES,NA,NA,NA,53,MALE,WHITE,COLLEGE,MIDDLE ATLANTIC
YES,YES,YES,YES,YES,YES,24,FEMALE,WHITE,COLLEGE,MIDDLE ATLANTIC
YES,YES,YES,YES,YES,YES,43,FEMALE,WHITE,GRADUATE,MIDDLE ATLANTIC
YES,YES,YES,YES,YES,YES,31,MALE,BLACK,<= HS,MIDDLE ATLANTIC
YES,YES,YES,YES,YES,YES,79,FEMALE,WHITE,HIGH SCHOOL,MIDDLE ATLANTIC
YES,YES,YES,YES,YES,YES,31,FEMALE,OTHER,HIGH SCHOOL,MIDDLE ATLANTIC
NO,NO,NO,NO,NO,NO,63,MALE,WHITE,COLLEGE,MIDDLE ATLANTIC
YES,YES,YES,NO,NO,YES,38,FEMALE,WHITE,HIGH SCHOOL,MIDDLE ATLANTIC
NO,NO,NO,NO,NO,NO,60,FEMALE,WHITE,GRADUATE,MIDDLE ATLANTIC
YES,YES,YES,YES,YES,YES,48,FEMALE,BLACK,COLLEGE,MIDDLE ATLANTIC
YES,YES,NO,NO,NO,NO,54,FEMALE,WHITE,HIGH SCHOOL,MIDDLE ATLANTIC
YES,YES,YES,NO,NO,NO,76,FEMALE,WHITE,HIGH SCHOOL,MIDDLE ATLANTIC
NO,NO,NO,NO,NO,NO,67,FEMALE,WHITE,HIGH SCHOOL,MIDDLE ATLANTIC
YES,YES,YES,YES,YES,YES,61,MALE,WHITE,HIGH SCHOOL,MIDDLE ATLANTIC
YES,YES,YES,YES,YES,YES,35,MALE,WHITE,HIGH SCHOOL,MIDDLE ATLANTIC
NO,YES,YES,NO,NO,NO,54,MALE,WHITE,HIGH SCHOOL,E. NOR. CENTRAL
YES,YES,YES,NO,NO,NO,28,FEMALE,WHITE,HIGH SCHOOL,E. NOR. CENTRAL
YES,YES,YES,YES,YES,YES,66,FEMALE,WHITE,HIGH SCHOOL,E. NOR. CENTRAL
YES,YES,YES,YES,YES,YES,20,MALE,WHITE,HIGH SCHOOL,E. NOR. CENTRAL
NO,NA,YES,NA,NO,NO,80,FEMALE,WHITE,HIGH SCHOOL,E. NOR. CENTRAL
YES,YES,YES,NO,NA,NO,65,MALE,WHITE,HIGH SCHOOL,E. NOR. CENTRAL
YES,YES,YES,YES,NA,YES,71,MALE,BLACK,HIGH SCHOOL,E. NOR. CENTRAL
YES,YES,YES,NO,NO,NO,28,FEMALE,WHITE,HIGH SCHOOL,E. NOR. CENTRAL
YES,YES,YES,NA,NO,NA,68,MALE,WHITE,HIGH SCHOOL,E. NOR. CENTRAL
NO,NO,NO,NO,NO,NO,31,MALE,WHITE,HIGH SCHOOL,E. NOR. CENTRAL
YES,YES,YES,YES,YES,YES,34,FEMALE,WHITE,COLLEGE,E. NOR. CENTRAL
YES,YES,YES,YES,YES,YES,47,MALE,WHITE,GRADUATE,E. NOR. CENTRAL
YES,YES,YES,NO,NO,NO,64,FEMALE,WHITE,HIGH SCHOOL,E. NOR. CENTRAL
YES,YES,YES,YES,YES,YES,86,FEMALE,WHITE,<= HS,E. NOR. CENTRAL
NA,YES,NA,NO,NO,NO,23,FEMALE,OTHER,<= HS,E. NOR. CENTRAL
YES,YES,YES,YES,YES,YES,46,MALE,WHITE,GRADUATE,E. NOR. CENTRAL
YES,YES,YES,YES,YES,YES,22,FEMALE,WHITE,COLLEGE,E. NOR. CENTRAL
YES,YES,YES,YES,YES,YES,55,FEMALE,WHITE,COLLEGE,E. NOR. CENTRAL
YES,YES,YES,YES,YES,YES,40,MALE,WHITE,GRADUATE,E. NOR. CENTRAL
YES,YES,YES,YES,YES,YES,27,MALE,WHITE,COLLEGE,E. NOR. CENTRAL
YES,YES,YES,YES,YES,YES,79,MALE,WHITE,HIGH SCHOOL,E. NOR. CENTRAL
YES,YES,YES,NO,NO,NO,19,FEMALE,BLACK,HIGH SCHOOL,E. NOR. CENTRAL
YES,YES,YES,YES,YES,YES,57,MALE,WHITE,COLLEGE,E. NOR. CENTRAL
YES,YES,YES,YES,YES,YES,33,FEMALE,WHITE,HIGH SCHOOL,E. NOR. CENTRAL
YES,YES,YES,YES,NO,YES,54,MALE,WHITE,COLLEGE,E. NOR. CENTRAL
YES,YES,NO,NO,NO,NO,62,MALE,BLACK,COLLEGE,E. NOR. CENTRAL
NO,NA,NA,NO,NO,NO,37,FEMALE,WHITE,COLLEGE,E. NOR. CENTRAL
YES,YES,NA,NA,NA,NO,77,MALE,BLACK,COLLEGE,E. NOR. CENTRAL
YES,YES,YES,NO,NO,NO,78,FEMALE,WHITE,<= HS,E. NOR. CENTRAL
YES,YES,YES,NO,NO,YES,33,MALE,WHITE,HIGH SCHOOL,E. NOR. CENTRAL
NO,NO,NO,NO,NO,NO,74,FEMALE,WHITE,COLLEGE,E. NOR. CENTRAL
NO,NO,NO,NO,NO,NO,41,MALE,WHITE,HIGH SCHOOL,E. NOR. CENTRAL
YES,YES,YES,YES,YES,YES,46,FEMALE,WHITE,COLLEGE,E. NOR. CENTRAL
YES,YES,YES,NO,NO,NO,85,FEMALE,WHITE,HIGH SCHOOL,E. NOR. CENTRAL
YES,NA,NO,NO,NO,NO,76,MALE,WHITE,HIGH SCHOOL,E. NOR. CENTRAL
YES,YES,NO,NO,NO,NO,82,FEMALE,WHITE,HIGH SCHOOL,E. NOR. CENTRAL
YES,YES,YES,YES,YES,YES,61,FEMALE,WHITE,HIGH SCHOOL,E. NOR. CENTRAL
NO,YES,YES,NO,NO,NO,31,FEMALE,BLACK,HIGH SCHOOL,E. NOR. CENTRAL
YES,YES,YES,YES,YES,YES,70,MALE,WHITE,GRADUATE,E. NOR. CENTRAL
NA,NA,NO,NO,NO,NO,67,FEMALE,WHITE,HIGH SCHOOL,E. NOR. CENTRAL
NO,YES,NO,NO,NO,NO,56,FEMALE,WHITE,COLLEGE,E. SOU. CENTRAL
NO,YES,NO,NO,NO,NO,39,MALE,BLACK,HIGH SCHOOL,E. SOU. CENTRAL
YES,YES,YES,NO,NO,YES,61,FEMALE,WHITE,HIGH SCHOOL,E. SOU. CENTRAL
NA,NA,NA,NA,NA,NO,52,FEMALE,WHITE,HIGH SCHOOL,E. SOU. CENTRAL
YES,YES,YES,NO,YES,NO,20,FEMALE,BLACK,HIGH SCHOOL,E. SOU. CENTRAL
YES,YES,YES,YES,YES,YES,82,MALE,WHITE,HIGH SCHOOL,SOUTH ATLANTIC
YES,YES,YES,YES,NO,YES,42,MALE,WHITE,HIGH SCHOOL,SOUTH ATLANTIC
YES,YES,YES,YES,YES,YES,72,MALE,WHITE,GRADUATE,SOUTH ATLANTIC
YES,YES,YES,YES,YES,YES,47,MALE,WHITE,HIGH SCHOOL,SOUTH ATLANTIC
YES,YES,YES,YES,YES,YES,39,MALE,WHITE,HIGH SCHOOL,SOUTH ATLANTIC
YES,YES,NO,NO,NO,NO,23,FEMALE,WHITE,<= HS,SOUTH ATLANTIC
YES,YES,YES,NO,NO,NO,74,MALE,WHITE,HIGH SCHOOL,SOUTH ATLANTIC
NO,YES,YES,NO,NO,NO,66,MALE,BLACK,<= HS,W. SOU. CENTRAL
YES,YES,YES,YES,YES,NO,37,MALE,BLACK,HIGH SCHOOL,W. SOU. CENTRAL
YES,YES,YES,NO,NO,NO,25,FEMALE,BLACK,HIGH SCHOOL,W. SOU. CENTRAL
YES,YES,YES,NO,NO,NO,48,FEMALE,BLACK,<= HS,W. SOU. CENTRAL
YES,YES,YES,YES,YES,YES,30,FEMALE,WHITE,GRADUATE,SOUTH ATLANTIC
YES,YES,YES,YES,YES,YES,54,FEMALE,WHITE,GRADUATE,SOUTH ATLANTIC
YES,YES,YES,NO,NO,YES,80,FEMALE,WHITE,HIGH SCHOOL,SOUTH ATLANTIC
YES,YES,NO,NO,NO,NO,53,FEMALE,BLACK,HIGH SCHOOL,SOUTH ATLANTIC
NA,YES,YES,NO,YES,YES,58,MALE,BLACK,GRADUATE,SOUTH ATLANTIC
YES,YES,YES,NO,NO,NO,29,FEMALE,WHITE,COLLEGE,SOUTH ATLANTIC
NO,NO,NO,NO,NO,NO,25,MALE,WHITE,COLLEGE,SOUTH ATLANTIC
YES,YES,YES,YES,NO,YES,36,MALE,WHITE,GRADUATE,SOUTH ATLANTIC
YES,YES,YES,NO,NO,NO,38,FEMALE,WHITE,HIGH SCHOOL,E. SOU. CENTRAL
YES,YES,NO,NO,NO,NO,61,MALE,BLACK,<= HS,E. SOU. CENTRAL
YES,YES,YES,YES,YES,YES,44,FEMALE,WHITE,HIGH SCHOOL,E. SOU. CENTRAL
NO,YES,NO,NO,NO,NO,50,FEMALE,WHITE,GRADUATE,E. SOU. CENTRAL
YES,YES,NO,NO,NO,NO,28,FEMALE,WHITE,<= HS,W. SOU. CENTRAL
YES,YES,NO,NO,NO,NO,53,FEMALE,WHITE,<= HS,W. SOU. CENTRAL
NO,YES,NO,NO,NO,NO,45,FEMALE,BLACK,HIGH SCHOOL,SOUTH ATLANTIC
YES,YES,YES,YES,YES,YES,43,FEMALE,WHITE,GRADUATE,SOUTH ATLANTIC
YES,YES,YES,YES,YES,YES,74,MALE,WHITE,COLLEGE,SOUTH ATLANTIC
NO,YES,NO,NO,NO,NO,38,MALE,WHITE,HIGH SCHOOL,SOUTH ATLANTIC
YES,YES,YES,NO,NO,NO,38,MALE,BLACK,GRADUATE,SOUTH ATLANTIC
YES,YES,YES,YES,YES,YES,45,MALE,WHITE,HIGH SCHOOL,SOUTH ATLANTIC
YES,YES,YES,NO,YES,YES,51,MALE,BLACK,<= HS,SOUTH ATLANTIC
YES,YES,YES,NO,NO,NO,61,MALE,WHITE,COLLEGE,MOUNTAIN
YES,YES,YES,YES,NO,YES,47,MALE,WHITE,<= HS,MOUNTAIN
YES,YES,YES,YES,YES,YES,26,FEMALE,OTHER,HIGH SCHOOL,MOUNTAIN
YES,YES,YES,YES,YES,YES,89,MALE,WHITE,<= HS,MOUNTAIN
YES,YES,YES,NO,NO,NO,58,MALE,WHITE,HIGH SCHOOL,MOUNTAIN
NO,YES,YES,NO,NO,NO,53,FEMALE,BLACK,HIGH SCHOOL,PACIFIC
NA,NA,NA,NA,NA,NA,83,MALE,OTHER,<= HS,PACIFIC
YES,YES,YES,NO,NO,NO,29,FEMALE,BLACK,<= HS,PACIFIC
NA,YES,YES,YES,YES,NO,30,FEMALE,WHITE,<= HS,PACIFIC
NO,YES,NO,NO,NO,NO,26,MALE,WHITE,<= HS,PACIFIC
NO,YES,NO,NO,NO,NO,26,FEMALE,WHITE,HIGH SCHOOL,PACIFIC
YES,YES,YES,YES,YES,YES,54,FEMALE,WHITE,HIGH SCHOOL,PACIFIC
YES,YES,YES,YES,YES,YES,81,MALE,WHITE,<= HS,PACIFIC
YES,YES,YES,YES,YES,YES,24,MALE,WHITE,COLLEGE,PACIFIC
YES,YES,YES,YES,YES,YES,19,MALE,WHITE,<= HS,PACIFIC
NA,NA,NA,NA,NA,NA,48,MALE,BLACK,COLLEGE,PACIFIC
YES,YES,YES,YES,YES,YES,65,FEMALE,WHITE,COLLEGE,MOUNTAIN
YES,YES,YES,NO,NA,NA,45,FEMALE,WHITE,COLLEGE,MOUNTAIN
NO,YES,NO,NO,NO,NO,82,FEMALE,WHITE,HIGH SCHOOL,MOUNTAIN
YES,YES,YES,NO,NO,YES,53,MALE,WHITE,HIGH SCHOOL,MOUNTAIN
YES,YES,YES,YES,YES,YES,34,MALE,WHITE,COLLEGE,MOUNTAIN
YES,YES,YES,YES,YES,YES,31,FEMALE,WHITE,HIGH SCHOOL,MOUNTAIN
YES,YES,YES,YES,YES,YES,50,FEMALE,WHITE,COLLEGE,MOUNTAIN
YES,YES,YES,YES,YES,YES,44,MALE,WHITE,COLLEGE,MOUNTAIN
NO,YES,NO,NO,NO,NO,38,FEMALE,WHITE,HIGH SCHOOL,MOUNTAIN
YES,YES,YES,YES,YES,YES,47,MALE,WHITE,GRADUATE,MOUNTAIN
NO,YES,NO,YES,NO,YES,26,FEMALE,OTHER,HIGH SCHOOL,MOUNTAIN
YES,NA,NA,NO,YES,NO,81,FEMALE,WHITE,<= HS,PACIFIC
YES,YES,YES,YES,YES,YES,21,FEMALE,WHITE,HIGH SCHOOL,PACIFIC
YES,YES,YES,NA,NO,NA,57,FEMALE,WHITE,COLLEGE,PACIFIC
NO,YES,YES,NO,NO,NO,23,FEMALE,WHITE,COLLEGE,PACIFIC
YES,YES,YES,YES,YES,YES,52,MALE,WHITE,HIGH SCHOOL,PACIFIC
NO,NO,NO,NO,NO,NO,50,FEMALE,OTHER,HIGH SCHOOL,PACIFIC
YES,YES,YES,YES,YES,YES,47,FEMALE,OTHER,GRADUATE,PACIFIC
YES,YES,YES,YES,YES,YES,58,MALE,OTHER,COLLEGE,PACIFIC
YES,YES,NO,NO,NO,NO,26,MALE,OTHER,HIGH SCHOOL,PACIFIC
YES,YES,YES,YES,YES,YES,72,FEMALE,WHITE,COLLEGE,PACIFIC
YES,YES,YES,YES,NO,YES,26,FEMALE,WHITE,HIGH SCHOOL,PACIFIC
YES,YES,YES,YES,YES,YES,44,FEMALE,WHITE,HIGH SCHOOL,MIDDLE ATLANTIC
YES,YES,YES,YES,YES,YES,46,FEMALE,WHITE,COLLEGE,MIDDLE ATLANTIC
YES,YES,YES,YES,YES,YES,20,FEMALE,WHITE,HIGH SCHOOL,MIDDLE ATLANTIC
YES,YES,YES,YES,YES,YES,57,FEMALE,BLACK,COLLEGE,MIDDLE ATLANTIC
YES,YES,YES,NO,NO,YES,52,MALE,WHITE,HIGH SCHOOL,NEW ENGLAND
YES,YES,YES,YES,YES,YES,49,MALE,WHITE,GRADUATE,W. NOR. CENTRAL
YES,YES,YES,NO,NO,NO,42,MALE,WHITE,COLLEGE,W. NOR. CENTRAL
NO,YES,NO,NO,NO,NO,24,FEMALE,WHITE,COLLEGE,W. NOR. CENTRAL
YES,YES,YES,YES,YES,YES,24,FEMALE,WHITE,COLLEGE,W. NOR. CENTRAL
NO,YES,YES,NO,YES,YES,31,MALE,WHITE,COLLEGE,W. NOR. CENTRAL
YES,YES,YES,YES,YES,YES,66,MALE,WHITE,HIGH SCHOOL,W. NOR. CENTRAL
